Year,Month,Day,1hour,12hour,24hour,truth
2024,136,14,169353.921875,148836.59375,141255.71875,172980.40000000002
2024,136,15,167784.4375,148006.375,139963.4375,172731.2
2024,136,16,163295.6875,147606.90625,139530.25,169347.3
2024,136,17,160464.375,148063.125,139739.71875,166309.8
2024,136,18,158516.953125,149200.09375,140451.09375,163667.59999999998
2024,136,19,158752.1875,150230.359375,141320.28125,162837.09999999998
2024,136,20,159467.125,151111.859375,141973.53125,163180.09999999998
2024,136,21,160659.34375,151278.40625,142637.765625,164196.7
2024,136,22,163038.0625,151352.5,143470.375,166369.0
2024,136,23,165592.203125,151674.28125,145071.609375,168524.7
2024,137,0,166481.390625,154088.4375,148223.8125,168909.7
2024,137,1,167468.75,157867.15625,152163.53125,168622.90000000002
2024,137,2,169928.6875,161656.859375,156151.140625,169915.9
2024,137,3,172228.9375,164742.34375,159508.109375,171435.6
2024,137,4,176490.28125,167637.453125,162561.203125,174845.0
2024,137,5,180152.640625,169627.578125,165204.28125,178857.0
2024,137,6,183656.78125,171017.65625,167318.625,183248.5
2024,137,7,183413.4375,172024.28125,167956.625,185599.6
2024,137,8,183621.15625,171919.40625,167495.90625,187318.5
2024,137,9,188087.4375,171116.78125,165686.34375,192136.4
2024,137,10,181286.234375,169990.65625,162882.796875,188745.6
2024,137,11,176392.46875,168117.609375,159766.46875,184590.8
2024,137,12,171263.015625,166194.515625,158190.265625,179343.6
2024,137,13,165596.328125,164924.53125,157341.015625,172840.09999999998
2024,137,14,156996.65625,162904.578125,155759.6875,164096.7
2024,137,15,154453.046875,161179.875,153348.15625,159652.3
2024,137,16,156292.28125,159615.3125,151744.84375,159331.30000000002
2024,137,17,158494.234375,158499.34375,150704.578125,160990.7
2024,137,18,158762.8125,157735.1875,150076.84375,161835.8
2024,137,19,156813.78125,157785.390625,150119.109375,160593.4
2024,137,20,153859.25,158929.78125,150326.78125,157797.3
2024,137,21,152354.796875,158520.21875,151046.25,155279.9
2024,137,22,152123.53125,158874.296875,153450.34375,153839.1
2024,137,23,154140.609375,158705.0,156224.0,154438.59999999998
2024,138,0,158145.5,158963.1875,159158.125,156955.5
2024,138,1,163300.390625,160256.875,162696.640625,161103.3
2024,138,2,168214.40625,162762.453125,166050.625,165726.5
2024,138,3,173262.84375,166005.375,170100.65625,170931.3
2024,138,4,176210.609375,169433.8125,174194.78125,174929.9
2024,138,5,179801.6875,171380.84375,176897.6875,179090.59999999998
2024,138,6,180526.75,171436.703125,176721.46875,180758.2
2024,138,7,181324.5625,171612.828125,175847.46875,181978.40000000002
2024,138,8,180588.21875,171500.46875,175712.625,183113.5
2024,138,9,178038.8125,169071.359375,172086.875,182417.5
2024,138,10,175078.65625,164702.75,168028.53125,180734.3
2024,138,11,171844.890625,159671.890625,164096.78125,178658.6
2024,138,12,169217.0625,154616.296875,160576.734375,176440.00000000003
2024,138,13,167082.546875,150395.0625,156130.0625,174200.0
2024,138,14,165511.21875,147841.34375,152249.4375,172505.7
2024,138,15,164502.9375,146490.671875,149871.0625,171226.4
2024,138,16,166869.265625,146228.375,148767.15625,172983.40000000002
2024,138,17,170323.5,145848.59375,148833.109375,176656.6
2024,138,18,173658.96875,144887.40625,148511.5625,180005.69999999998
2024,138,19,173131.125,143523.53125,147862.34375,179960.59999999998
2024,138,20,170104.875,142347.5,147314.734375,177719.5
2024,138,21,165607.828125,142230.8125,146932.875,173237.6
2024,138,22,164209.40625,143333.53125,147076.0,170934.30000000002
2024,138,23,165687.65625,145695.703125,148227.96875,170708.0
2024,139,0,165084.796875,149424.859375,151279.078125,169012.7
2024,139,1,167243.3125,153457.625,155792.015625,169411.59999999998
2024,139,2,170862.90625,157572.625,161562.9375,171970.09999999998
2024,139,3,174809.59375,162433.78125,166221.046875,175810.6
2024,139,4,176501.890625,167331.25,170030.421875,178486.4
2024,139,5,176948.59375,171390.75,171231.515625,179101.1
2024,139,6,176698.1875,174528.78125,171149.421875,179102.09999999998
2024,139,7,173073.53125,175717.875,171408.5,176807.4
2024,139,8,170605.75,173268.015625,169219.609375,175073.7
2024,139,9,167572.84375,169677.140625,166325.125,172725.7
2024,139,10,164792.78125,166977.125,162845.234375,169839.5
2024,139,11,161383.84375,162688.3125,159074.953125,166276.3
2024,139,12,162427.625,158983.359375,154786.96875,166687.4
2024,139,13,163408.0,155638.640625,151499.3125,168326.8
2024,139,14,160981.609375,152684.75,148872.390625,167314.6
2024,139,15,157713.40625,151413.71875,148670.71875,163647.5
2024,139,16,154261.5,151137.78125,150317.84375,158902.4
2024,139,17,151745.796875,151007.671875,152799.40625,155051.5
2024,139,18,148577.328125,149977.890625,154606.09375,151137.60000000003
2024,139,19,146013.1875,148908.078125,154876.90625,148198.0
2024,139,20,145514.078125,147020.890625,152514.625,147141.59999999998
2024,139,21,146116.75,145649.625,151002.109375,146932.0
2024,139,22,146634.09375,145238.40625,151851.9375,146969.0
2024,139,23,148307.6875,146505.53125,152368.171875,147883.5
2024,140,0,151608.328125,148278.84375,154057.015625,149782.8
2024,140,1,155496.25,150971.84375,156548.75,152150.40000000002
2024,140,2,160150.84375,154357.09375,158695.4375,155483.3
2024,140,3,165616.71875,156739.40625,161167.53125,160590.7
2024,140,4,171523.640625,157923.09375,162811.484375,166732.9
2024,140,5,176367.84375,157762.640625,163687.125,173176.5
2024,140,6,180425.71875,156441.71875,162563.15625,179150.3
2024,140,7,178825.09375,155095.28125,160486.09375,179780.4
2024,140,8,175394.953125,153733.71875,157341.25,178359.8
2024,140,9,171157.75,151150.5,153636.71875,175724.3
2024,140,10,167904.59375,148982.6875,149982.875,172826.1
2024,140,11,166646.71875,148544.765625,148408.921875,171504.4
2024,140,12,165005.828125,148720.390625,147903.84375,170625.6
2024,140,13,164731.21875,148482.421875,147113.8125,170806.1
2024,140,14,163208.84375,148524.15625,146135.9375,170229.59999999998
2024,140,15,160788.90625,147985.46875,144489.125,168215.19999999998
2024,140,16,158213.0625,147347.703125,142479.0625,165636.0
2024,140,17,156504.984375,147376.140625,140258.84375,163662.7
2024,140,18,155689.5625,146038.0625,138527.0625,162179.4
2024,140,19,152467.609375,144235.828125,137486.1875,158956.7
2024,140,20,148461.5625,142727.25,137945.171875,154533.59999999998
2024,140,21,145504.59375,141611.984375,138455.90625,150408.6
2024,140,22,144158.015625,141318.46875,139249.0625,147172.4
2024,140,23,145076.859375,142465.8125,141071.375,145893.0
2024,141,0,147700.453125,145571.375,143798.015625,146186.3
2024,141,1,151408.65625,150633.546875,147639.84375,148101.5
2024,141,2,156148.390625,156444.328125,152098.265625,151815.2
2024,141,3,161031.46875,161525.65625,156489.09375,156471.2
2024,141,4,166395.09375,165834.046875,160975.125,162198.4
2024,141,5,170553.484375,168577.0625,165189.34375,167960.69999999998
2024,141,6,172544.1875,169342.375,166519.0625,171694.3
2024,141,7,173908.53125,168274.15625,165486.40625,174957.7
2024,141,8,172501.96875,165043.3125,162467.0625,175607.2
